Parameter,$40[C] 200[bar]$,$50[C] 200[bar]$,$40[C] 300[bar]$,$50[C] 300[bar]$
$k_m[-]$,3.88323,3.10698,3.89987,3.75735
$D_i[m^2/s] \times 1e-14$,1.17029,1.05285,2.27116,1.87532
$D_e^M[m^2/s] \times 1e-6$,5.34343,5.78562,1.70107,3.3785
$\tau[-]$,0.8899,0.90648,0.86717,0.86479
$\sigma[-]$,0.64512,0.84636,1.51999,1.00276
