Parameter,$40[C] 200[bar]$,$50[C] 200[bar]$,$40[C] 300[bar]$,$50[C] 300[bar]$
$k_m[-]$,0,0,0,208081
$D_i[m^2/s] \cdot 10^{-14}$,5.4,24.6,22.86,8.82
$D_e^M[m^2/s] \cdot 10^{-6}$,6.57,83.36,2.14,5.05
$\Upsilon[-]$,1.32,3.01,2.7,1.29
$\tau[-]$,0.72,0.86,0.68,0.69
$\sigma[-]$,0.07,0.22,0.06,0.05
