Parameter,$40[C] 200[bar]$,$50[C] 200[bar]$,$40[C] 300[bar]$,$50[C] 300[bar]$
$k_m[-]$,24254,198335,99496,238448
$D_i[m^2/s] \cdot 10^{-14}$,4.32,3.34,14.39,8.82
$D_e^M[m^2/s] \cdot 10^{-6}$,7.79,7.99,4.16,5.05
$\Upsilon[-]$,1.07,0.29,2.11,1.29
$\tau[-]$,0.72,0.76,0.71,0.69
$\sigma[-]$,0.07,0.12,0.07,0.05
